"","統計年月","縣市","行政區域","售電量度數","教育程度總計","大學以上比例","大學比例","大學以下比例","納稅單位","綜合所得總額","綜合所得中位數","綜合所得IQR","戶數","總人數","女性比例","男性比例","少年人口比例","青年人口比例","壯年人口比例","老年人口比例","出生數","出生數.男","出生數.女","結婚對數","離婚對數","設有戶籍宅數","設有戶籍宅數之平均人口數","單身或頂客家庭","核心家庭","折衷或大家庭","總戶長數","戶長平均年齡","少年戶長數","青年戶長數","壯年戶長數","老年戶長數","每戶平均老年人口數","獨居老人宅數","一名老年人口宅數","二名以上老年人口宅數","有偶人數","離婚人數","未婚人數","便利商店數","每戶平均用電度數","每人平均用電度數","quanpower","每人平均用電金額","diff北投","diff大安","diff大同","diff南港","diff內湖","diff士林","diff松山","diff萬華","diff文山","diff信義","diff中山","diff中正","diff北市"
"1",10401,"臺北市","北投區八仙里",1106675,4988,0.091,0.3031,0.6059,1768,1860333,647,874,2116,5757,0.5107,0.4893,0.2024,0.3054,0.3808,0.1115,16,9,7,8,4,1519,3.77,610,463,446,2112,54.05,33,581,1065,433,0.32,95,73,22,1329,249,333,0,523,192.23,18,961.15,-243.172067940365,-243.172067940365,-243.172067940365,-243.172067940365,-243.172067940365,-243.172067940365,-243.172067940365,-243.172067940365,-243.172067940365,-243.172067940365,-243.172067940365,-243.172067940365,-457.478795909978
"2",10401,"臺北市","北投區大同里",1187859,5492,0.0954,0.293,0.6116,1934,2110861,649,919,2344,6286,0.5033,0.4967,0.2068,0.3016,0.3791,0.1125,10,5,5,6,1,1784,3.53,736,565,483,2375,54.25,52,636,1174,513,0.32,124,99,25,1477,258,404,0,506.77,188.97,16,944.85,-616.793004739649,-616.793004739649,-616.793004739649,-616.793004739649,-616.793004739649,-616.793004739649,-616.793004739649,-616.793004739649,-616.793004739649,-616.793004739649,-616.793004739649,-616.793004739649,-473.778795909978
"3",10401,"臺北市","北投區大屯里",370339,1105,0.0588,0.2045,0.7367,346,498508,570,726,425,1246,0.4751,0.5249,0.179,0.2978,0.3756,0.1477,4,2,2,4,0,287,4.38,123,67,97,429,58.14,5,74,218,132,0.47,38,30,8,280,46,55,0,871.39,297.22,63,1486.1,57.3387461065636,57.3387461065636,57.3387461065636,57.3387461065636,57.3387461065636,57.3387461065636,57.3387461065636,57.3387461065636,57.3387461065636,57.3387461065636,57.3387461065636,57.3387461065636,67.471204090022
"4",10401,"臺北市","北投區稻香里",1036080,4719,0.0799,0.2823,0.6378,1579,1461138,629,756,2040,5306,0.4964,0.5038,0.1813,0.3166,0.383,0.1191,14,4,10,5,0,1623,3.26,726,543,354,2043,54.19,37,604,952,450,0.33,106,89,17,1233,220,357,0,507.88,195.27,19,976.35,-217.950520333528,-217.950520333528,-217.950520333528,-217.950520333528,-217.950520333528,-217.950520333528,-217.950520333528,-217.950520333528,-217.950520333528,-217.950520333528,-217.950520333528,-217.950520333528,-442.278795909978
"5",10401,"臺北市","北投區東華里",879960,4005,0.1134,0.3144,0.5723,1455,1568597,688,934,1622,4756,0.529,0.471,0.2183,0.2843,0.381,0.1165,6,3,3,4,0,1171,4.01,376,421,374,1604,55.71,18,394,832,360,0.36,68,44,24,1099,160,170,0,542.52,185.02,14,925.1,-399.881467519037,-399.881467519037,-399.881467519037,-399.881467519037,-399.881467519037,-399.881467519037,-399.881467519037,-399.881467519037,-399.881467519037,-399.881467519037,-399.881467519037,-399.881467519037,-493.528795909978
"6",10401,"臺北市","北投區豐年里",650055,4097,0.0588,0.267,0.6742,1399,1152844,604,724,1706,4933,0.5149,0.4853,0.2303,0.3205,0.3353,0.1139,15,7,8,7,2,1180,4.18,369,368,443,1712,53.64,25,554,747,386,0.35,59,40,19,1094,200,229,1,381.04,131.78,2,658.9,-801.738366877358,-801.738366877358,-801.738366877358,-801.738366877358,-801.738366877358,-801.738366877358,-801.738366877358,-801.738366877358,-801.738366877358,-801.738366877358,-801.738366877358,-801.738366877358,-759.728795909978
"7",10401,"臺北市","北投區福興里",1256969,6316,0.1097,0.2989,0.5914,2293,2320753,684,920,2639,7636,0.5282,0.472,0.2483,0.2988,0.3494,0.1035,10,5,5,8,0,1965,3.89,665,679,621,2692,53.8,37,838,1263,554,0.31,131,97,34,1827,259,339,1,476.31,164.61,6,823.05,-634.671182494938,-634.671182494938,-634.671182494938,-634.671182494938,-634.671182494938,-634.671182494938,-634.671182494938,-634.671182494938,-634.671182494938,-634.671182494938,-634.671182494938,-634.671182494938,-595.578795909978
"8",10401,"臺北市","北投區關渡里",2343512,10264,0.0771,0.2823,0.6406,3421,3437669,641,795,4138,11812,0.5068,0.4932,0.193,0.3222,0.3617,0.123,22,12,10,17,2,3264,3.62,1331,1064,869,4169,53.17,49,1267,2123,730,0.36,163,117,46,2739,416,607,1,566.34,198.4,21,992,-323.618261316872,-323.618261316872,-323.618261316872,-323.618261316872,-323.618261316872,-323.618261316872,-323.618261316872,-323.618261316872,-323.618261316872,-323.618261316872,-323.618261316872,-323.618261316872,-426.628795909978
"9",10401,"臺北市","北投區湖山里",625757,1662,0.0542,0.2383,0.7076,523,689767,614,755,719,1845,0.4791,0.5203,0.1453,0.2645,0.3886,0.2016,2,1,1,2,0,477,3.84,225,106,146,712,61.27,10,108,309,285,0.53,76,61,15,410,77,101,1,870.32,339.16,74,1695.8,512.660328435609,512.660328435609,512.660328435609,512.660328435609,512.660328435609,512.660328435609,512.660328435609,512.660328435609,512.660328435609,512.660328435609,512.660328435609,512.660328435609,277.171204090022
"10",10401,"臺北市","北投區湖田里",228227,936,0.0395,0.2041,0.7564,249,271870,589,718,398,1086,0.4558,0.5433,0.14,0.2983,0.4144,0.1464,2,2,0,1,0,224,4.59,88,43,93,386,56.79,7,84,194,101,0.41,17,14,3,253,38,55,0,573.43,210.15,27,1050.75,-398.037572624852,-398.037572624852,-398.037572624852,-398.037572624852,-398.037572624852,-398.037572624852,-398.037572624852,-398.037572624852,-398.037572624852,-398.037572624852,-398.037572624852,-398.037572624852,-367.878795909978
"11",10401,"臺北市","北投區吉利里",1012177,6103,0.1098,0.3215,0.5687,2216,2309619,721,950,2560,7608,0.5197,0.4804,0.2645,0.2842,0.3417,0.1098,16,6,10,10,4,1803,4.19,517,625,661,2551,53.75,35,809,1166,541,0.34,98,66,32,1733,250,309,0,395.38,133.04,2,665.2,-1256.07299908253,-1256.07299908253,-1256.07299908253,-1256.07299908253,-1256.07299908253,-1256.07299908253,-1256.07299908253,-1256.07299908253,-1256.07299908253,-1256.07299908253,-1256.07299908253,-1256.07299908253,-753.428795909978
"12",10401,"臺北市","北投區吉慶里",887611,4674,0.1085,0.3271,0.5644,1660,1685899,724,915,1961,5792,0.5283,0.4717,0.2617,0.2907,0.3384,0.1091,15,6,9,5,4,1419,4.05,454,457,508,1969,53.79,32,633,887,417,0.34,71,47,24,1372,188,244,2,452.63,153.25,4,766.25,-680.22661241755,-680.22661241755,-680.22661241755,-680.22661241755,-680.22661241755,-680.22661241755,-680.22661241755,-680.22661241755,-680.22661241755,-680.22661241755,-680.22661241755,-680.22661241755,-652.378795909978
"13",10401,"臺北市","北投區建民里",854011,3916,0.1032,0.3274,0.5695,1331,1436550,692,943,1696,4486,0.5154,0.4846,0.1913,0.284,0.3798,0.1449,7,3,4,6,1,1276,3.49,567,378,331,1696,56.53,20,399,817,460,0.41,122,95,27,1118,154,230,1,503.54,190.37,17,951.85,-252.472067940365,-252.472067940365,-252.472067940365,-252.472067940365,-252.472067940365,-252.472067940365,-252.472067940365,-252.472067940365,-252.472067940365,-252.472067940365,-252.472067940365,-252.472067940365,-466.778795909978
"14",10401,"臺北市","北投區開明里",1240291,6085,0.0999,0.3137,0.5864,2117,2570956,678,921,2566,6798,0.5216,0.4782,0.1798,0.298,0.3916,0.1306,10,3,7,8,2,2084,3.27,876,726,482,2579,55.25,46,667,1254,612,0.36,177,143,34,1651,269,384,2,483.36,182.45,13,912.25,-649.393004739649,-649.393004739649,-649.393004739649,-649.393004739649,-649.393004739649,-649.393004739649,-649.393004739649,-649.393004739649,-649.393004739649,-649.393004739649,-649.393004739649,-649.393004739649,-506.378795909978
"15",10401,"臺北市","北投區立農里",1641783,8109,0.0968,0.3055,0.5977,2898,2844690,670,889,3377,9711,0.5151,0.4849,0.2387,0.3128,0.357,0.0914,17,10,7,13,3,2479,3.92,804,875,800,3403,52.93,59,1081,1673,590,0.28,111,88,23,2301,347,478,1,486.17,169.06,8,845.3,-583.461253893437,-583.461253893437,-583.461253893437,-583.461253893437,-583.461253893437,-583.461253893437,-583.461253893437,-583.461253893437,-583.461253893437,-583.461253893437,-583.461253893437,-583.461253893437,-573.328795909978
"16",10401,"臺北市","北投區立賢里",1030248,4837,0.0947,0.3097,0.5956,1792,1687347,649,841,2072,6012,0.5283,0.4717,0.2468,0.3071,0.348,0.0983,15,10,5,0,3,1476,4.01,457,513,506,2064,53.47,18,690,943,413,0.31,78,54,24,1387,206,281,0,497.22,171.37,8,856.85,-337.450520333528,-337.450520333528,-337.450520333528,-337.450520333528,-337.450520333528,-337.450520333528,-337.450520333528,-337.450520333528,-337.450520333528,-337.450520333528,-337.450520333528,-337.450520333528,-561.778795909978
"17",10401,"臺北市","北投區林泉里",770528,3197,0.1004,0.2875,0.6121,1025,898033,639,770,1540,3564,0.5101,0.4899,0.1633,0.2859,0.4024,0.1481,6,4,2,6,2,1253,2.85,677,366,210,1550,54.84,31,428,721,370,0.36,136,109,27,826,249,315,0,500.34,216.2,30,1081,-243.981467519037,-243.981467519037,-243.981467519037,-243.981467519037,-243.981467519037,-243.981467519037,-243.981467519037,-243.981467519037,-243.981467519037,-243.981467519037,-243.981467519037,-243.981467519037,-337.628795909978
"18",10401,"臺北市","北投區奇岩里",2219704,8879,0.094,0.3214,0.5845,3191,5872618,696,967,3524,9871,0.5077,0.4924,0.1875,0.3084,0.3845,0.1195,12,5,7,15,4,2889,3.46,1128,1002,759,3618,54.92,67,900,1862,789,0.35,190,155,35,2349,388,549,0,629.88,224.87,34,1124.35,-336.288366877358,-336.288366877358,-336.288366877358,-336.288366877358,-336.288366877358,-336.288366877358,-336.288366877358,-336.288366877358,-336.288366877358,-336.288366877358,-336.288366877358,-336.288366877358,-294.278795909978
"19",10401,"臺北市","北投區清江里",1522866,8865,0.0596,0.2545,0.686,2570,2305736,621,727,4064,9818,0.4913,0.5087,0.1773,0.2954,0.4,0.1272,20,8,12,6,4,2424,4.08,967,786,671,4182,54.69,68,1107,2083,924,0.32,162,122,40,2119,742,887,2,374.72,155.11,4,775.55,-682.171182494938,-682.171182494938,-682.171182494938,-682.171182494938,-682.171182494938,-682.171182494938,-682.171182494938,-682.171182494938,-682.171182494938,-682.171182494938,-682.171182494938,-682.171182494938,-643.078795909978
"20",10401,"臺北市","北投區泉源里",666443,2225,0.0553,0.2328,0.7119,658,664402,584,709,865,2511,0.4747,0.5253,0.1681,0.2907,0.3911,0.1497,6,5,1,3,1,557,4.41,237,130,190,847,57.82,11,156,440,240,0.44,51,43,8,499,96,131,0,770.45,265.41,51,1327.05,11.4317386831278,11.4317386831278,11.4317386831278,11.4317386831278,11.4317386831278,11.4317386831278,11.4317386831278,11.4317386831278,11.4317386831278,11.4317386831278,11.4317386831278,11.4317386831278,-91.578795909978
"21",10401,"臺北市","北投區榮光里",1167189,6565,0.0922,0.2992,0.6087,2316,2265841,683,833,2790,8140,0.5227,0.4773,0.2672,0.2857,0.3371,0.1098,10,5,5,9,1,1999,4.08,653,643,703,2806,54.12,47,866,1246,647,0.34,118,87,31,1900,291,325,1,418.35,143.39,3,716.95,-466.189671564391,-466.189671564391,-466.189671564391,-466.189671564391,-466.189671564391,-466.189671564391,-466.189671564391,-466.189671564391,-466.189671564391,-466.189671564391,-466.189671564391,-466.189671564391,-701.678795909978
"22",10401,"臺北市","北投區榮華里",1944600,6847,0.1459,0.3882,0.4659,2719,4468593,848,1239,2983,7962,0.5225,0.4775,0.2012,0.2837,0.3852,0.1299,15,5,10,11,1,2489,3.17,1119,854,516,2967,54.4,60,781,1488,638,0.37,184,129,55,1983,273,462,4,651.89,244.24,43,1221.2,-227.587572624852,-227.587572624852,-227.587572624852,-227.587572624852,-227.587572624852,-227.587572624852,-227.587572624852,-227.587572624852,-227.587572624852,-227.587572624852,-227.587572624852,-227.587572624852,-197.428795909978
"23",10401,"臺北市","北投區石牌里",1349432,4940,0.1061,0.318,0.5759,1849,1831959,681,830,2098,5744,0.5251,0.4749,0.1983,0.3231,0.3564,0.1222,9,4,5,8,4,1651,3.46,665,537,449,2110,54.06,39,609,1014,448,0.35,110,87,23,1391,198,330,1,643.2,234.93,39,1174.65,-746.622999082527,-746.622999082527,-746.622999082527,-746.622999082527,-746.622999082527,-746.622999082527,-746.622999082527,-746.622999082527,-746.622999082527,-746.622999082527,-746.622999082527,-746.622999082527,-243.978795909978
"24",10401,"臺北市","北投區桃源里",1005175,5560,0.0813,0.2836,0.6351,1897,1741796,609,768,2311,6321,0.5072,0.4928,0.1875,0.3392,0.3762,0.0971,12,5,7,7,3,1879,3.37,761,651,467,2313,52.88,47,673,1199,394,0.28,81,64,17,1529,212,356,0,434.95,159.02,5,795.1,-651.37661241755,-651.37661241755,-651.37661241755,-651.37661241755,-651.37661241755,-651.37661241755,-651.37661241755,-651.37661241755,-651.37661241755,-651.37661241755,-651.37661241755,-651.37661241755,-623.528795909978
"25",10401,"臺北市","北投區溫泉里",1357982,6225,0.0962,0.3142,0.5896,2192,2206838,661,847,2771,7024,0.5273,0.4727,0.1871,0.2958,0.3847,0.1325,10,4,6,6,1,2191,3.2,1044,664,483,2778,54.74,50,744,1350,634,0.35,178,133,45,1671,324,518,0,490.07,193.33,18,966.65,-237.672067940365,-237.672067940365,-237.672067940365,-237.672067940365,-237.672067940365,-237.672067940365,-237.672067940365,-237.672067940365,-237.672067940365,-237.672067940365,-237.672067940365,-237.672067940365,-451.978795909978
"26",10401,"臺北市","北投區文化里",670308,3753,0.129,0.3413,0.5297,1372,1553759,868,1097,1686,4606,0.5193,0.4807,0.2406,0.2779,0.3643,0.1172,7,5,2,7,0,1223,3.74,415,447,361,1686,54.06,24,511,799,352,0.33,67,50,17,1131,150,208,0,397.57,145.53,3,727.65,-833.993004739649,-833.993004739649,-833.993004739649,-833.993004739649,-833.993004739649,-833.993004739649,-833.993004739649,-833.993004739649,-833.993004739649,-833.993004739649,-833.993004739649,-833.993004739649,-690.978795909978
"27",10401,"臺北市","北投區文林里",989297,3895,0.1042,0.3307,0.5651,1474,1660724,740,980,1643,4433,0.5161,0.4839,0.1908,0.2991,0.3677,0.1426,4,3,1,3,1,1358,3.27,583,462,313,1668,55.38,19,445,781,423,0.4,95,66,29,1100,163,252,1,602.13,223.17,34,1115.85,-312.911253893437,-312.911253893437,-312.911253893437,-312.911253893437,-312.911253893437,-312.911253893437,-312.911253893437,-312.911253893437,-312.911253893437,-312.911253893437,-312.911253893437,-312.911253893437,-302.778795909978
"28",10401,"臺北市","北投區秀山里",618977,3097,0.0681,0.267,0.6648,1018,838646,592,656,1236,3508,0.5103,0.4897,0.1784,0.3093,0.3586,0.1539,7,5,2,4,2,938,3.76,343,321,274,1244,57.62,18,282,566,378,0.45,71,52,19,718,173,175,1,500.79,176.45,10,882.25,-312.050520333528,-312.050520333528,-312.050520333528,-312.050520333528,-312.050520333528,-312.050520333528,-312.050520333528,-312.050520333528,-312.050520333528,-312.050520333528,-312.050520333528,-312.050520333528,-536.378795909978
"29",10401,"臺北市","北投區一德里",1535725,6663,0.08,0.2724,0.6476,2128,2076390,629,777,2723,7585,0.5042,0.4957,0.2105,0.3309,0.3562,0.1023,16,8,8,8,0,2171,3.57,876,684,611,2779,52.84,46,879,1330,524,0.29,107,92,15,1834,268,420,2,563.98,202.47,23,1012.35,-312.631467519037,-312.631467519037,-312.631467519037,-312.631467519037,-312.631467519037,-312.631467519037,-312.631467519037,-312.631467519037,-312.631467519037,-312.631467519037,-312.631467519037,-312.631467519037,-406.278795909978
"30",10401,"臺北市","北投區永和里",2770661,8300,0.1266,0.3617,0.5117,3062,4596960,813,1201,3632,9602,0.5208,0.4791,0.2172,0.2741,0.3914,0.1173,21,10,11,12,2,3013,3.21,1369,1027,617,3672,53.48,72,1062,1846,692,0.32,196,146,50,2408,396,593,0,762.85,288.55,60,1442.75,-17.8883668773576,-17.8883668773576,-17.8883668773576,-17.8883668773576,-17.8883668773576,-17.8883668773576,-17.8883668773576,-17.8883668773576,-17.8883668773576,-17.8883668773576,-17.8883668773576,-17.8883668773576,24.1212040900218
"31",10401,"臺北市","北投區永明里",963109,4301,0.12,0.3443,0.5357,1576,1855259,782,1033,1868,5316,0.5324,0.4678,0.2607,0.2931,0.3412,0.1053,11,8,3,6,4,1397,3.77,497,478,422,1871,53.61,21,589,879,382,0.32,98,74,24,1306,164,224,0,515.58,181.17,12,905.85,-551.871182494938,-551.871182494938,-551.871182494938,-551.871182494938,-551.871182494938,-551.871182494938,-551.871182494938,-551.871182494938,-551.871182494938,-551.871182494938,-551.871182494938,-551.871182494938,-512.778795909978
"32",10401,"臺北市","北投區永欣里",1806704,6982,0.1812,0.4178,0.401,2853,5845914,1059,1860,3322,8164,0.5278,0.4721,0.2188,0.278,0.3775,0.1254,10,6,4,7,2,2872,2.84,1490,926,456,3348,52.74,55,1067,1608,618,0.33,194,140,54,2267,255,588,2,543.86,221.3,32,1106.5,-209.118261316872,-209.118261316872,-209.118261316872,-209.118261316872,-209.118261316872,-209.118261316872,-209.118261316872,-209.118261316872,-209.118261316872,-209.118261316872,-209.118261316872,-209.118261316872,-312.128795909978
"33",10401,"臺北市","北投區裕民里",1776204,7008,0.1153,0.3552,0.5295,2622,3428292,737,1005,3037,8028,0.5247,0.4753,0.1998,0.3079,0.3707,0.1214,9,4,5,12,0,2505,3.22,1102,839,564,3075,53.95,60,893,1481,641,0.33,160,127,33,2056,284,480,1,584.85,221.25,32,1106.25,-76.8896715643907,-76.8896715643907,-76.8896715643907,-76.8896715643907,-76.8896715643907,-76.8896715643907,-76.8896715643907,-76.8896715643907,-76.8896715643907,-76.8896715643907,-76.8896715643907,-76.8896715643907,-312.378795909978
"34",10401,"臺北市","北投區長安里",1213795,5640,0.0826,0.2911,0.6262,1870,1746423,631,773,2620,6447,0.5356,0.4644,0.2046,0.2956,0.3769,0.1227,13,9,4,4,1,2091,3.08,1067,595,429,2643,53.44,58,797,1240,548,0.31,149,108,41,1470,346,558,2,463.28,188.27,16,941.35,-507.437572624852,-507.437572624852,-507.437572624852,-507.437572624852,-507.437572624852,-507.437572624852,-507.437572624852,-507.437572624852,-507.437572624852,-507.437572624852,-507.437572624852,-507.437572624852,-477.278795909978
"35",10401,"臺北市","北投區振華里",1554962,6989,0.1183,0.3322,0.5494,2679,3017743,713,1016,2920,8165,0.5274,0.4725,0.205,0.2903,0.3674,0.1374,11,7,4,6,2,2312,3.51,935,755,622,2901,56.04,30,741,1376,754,0.41,178,130,48,1915,247,424,3,532.52,190.44,17,952.2,-969.072999082527,-969.072999082527,-969.072999082527,-969.072999082527,-969.072999082527,-969.072999082527,-969.072999082527,-969.072999082527,-969.072999082527,-969.072999082527,-969.072999082527,-969.072999082527,-466.428795909978
"36",10401,"臺北市","北投區智仁里",848322,5655,0.0812,0.2916,0.6272,1882,1638950,628,742,2320,6642,0.5221,0.4779,0.2188,0.3144,0.3484,0.1186,14,8,6,9,3,1730,3.84,588,575,567,2322,53.92,33,714,1059,516,0.36,105,76,29,1440,273,355,0,365.66,127.72,1,638.6,-807.87661241755,-807.87661241755,-807.87661241755,-807.87661241755,-807.87661241755,-807.87661241755,-807.87661241755,-807.87661241755,-807.87661241755,-807.87661241755,-807.87661241755,-807.87661241755,-780.028795909978
