"統計年月","縣市","行政區域","售電量度數","教育程度總計","大學以上比例","大學比例","大學以下比例","納稅單位","綜合所得總額","綜合所得中位數","綜合所得IQR","戶數","總人數","女性比例","男性比例","少年人口比例","青年人口比例","壯年人口比例","老年人口比例","出生數","出生數.男","出生數.女","結婚對數","離婚對數","有偶人數","有偶比例","離婚人數","離婚比例","未婚比例","每戶平均用電度數","每人平均用電度數"
10305,"臺北市","北投區八仙里",1314507,5020,0.0847,0.2982,0.6171,1768,1860333,647,874,2101,5720,0.508,0.492,0.2012,0.3052,0.3836,0.1098,10,2,8,9,0,1329,"62.93%",249,"11.79%","15.77%",625.66,229.81
10305,"臺北市","北投區大同里",1391707,5450,0.0919,0.2844,0.6237,1934,2110861,649,919,2344,6267,0.5068,0.4932,0.2094,0.3027,0.3779,0.1101,7,4,3,11,4,1477,"62.19%",258,"10.86%","17.01%",593.73,222.07
10305,"臺北市","北投區大屯里",341365,1096,0.0575,0.2062,0.7363,346,498508,570,726,420,1248,0.4776,0.5224,0.1811,0.3045,0.367,0.1466,1,0,1,4,1,280,"65.27%",46,"10.72%","12.82%",812.77,273.53
10305,"臺北市","北投區稻香里",1087716,4695,0.0801,0.2733,0.6466,1579,1461138,629,756,2028,5234,0.4895,0.5105,0.1811,0.3202,0.3825,0.1162,14,4,10,12,3,1233,"60.35%",220,"10.77%","17.47%",536.35,207.82
10305,"臺北市","北投區東華里",1056051,4049,0.1047,0.3102,0.5851,1455,1568597,688,934,1626,4792,0.528,0.4722,0.2212,0.2842,0.3833,0.1114,6,3,3,2,0,1099,"68.52%",160,"9.98%","10.60%",649.48,220.38
10305,"臺北市","北投區豐年里",820449,4088,0.0553,0.2549,0.6898,1399,1152844,604,724,1708,4930,0.514,0.486,0.2316,0.3252,0.3323,0.1112,12,8,4,7,2,1094,"63.90%",200,"11.68%","13.38%",480.36,166.42
10305,"臺北市","北投區福興里",1530715,6290,0.1073,0.289,0.6037,2293,2320753,684,920,2647,7692,0.5256,0.4743,0.2509,0.2999,0.3495,0.0996,17,8,9,13,3,1827,"67.87%",259,"9.62%","12.59%",578.28,199
10305,"臺北市","北投區關渡里",2451131,10277,0.0759,0.2721,0.652,3421,3437669,641,795,4126,11726,0.5043,0.4957,0.1944,0.3235,0.3606,0.1215,19,8,11,13,3,2739,"65.70%",416,"9.98%","14.56%",594.07,209.03
10305,"臺北市","北投區湖山里",601244,1659,0.0518,0.2387,0.7095,523,689767,614,755,712,1835,0.4807,0.5199,0.1526,0.2594,0.3935,0.1951,4,1,3,2,1,410,"57.58%",77,"10.81%","14.19%",844.44,327.65
10305,"臺北市","北投區湖田里",232378,1000,0.042,0.192,0.766,249,271870,589,718,402,1096,0.4571,0.5438,0.1369,0.3011,0.4161,0.1478,2,2,0,1,0,253,"65.54%",38,"9.84%","14.25%",578.05,212.02
