"統計年月","縣市","行政區域","售電量度數"
"10305","臺北市","北投區八仙里",1314507
"10305","臺北市","北投區大同里",1391707
"10305","臺北市","北投區大屯里",341365
"10305","臺北市","北投區稻香里",1087716
"10305","臺北市","北投區東華里",1056051
"10305","臺北市","北投區豐年里",820449
"10305","臺北市","北投區福興里",1530715
"10305","臺北市","北投區關渡里",2451131
"10305","臺北市","北投區湖山里",601244
"10305","臺北市","北投區湖田里",232378
"10305","臺北市","北投區吉利里",1281550
"10305","臺北市","北投區吉慶里",1129963
"10305","臺北市","北投區建民里",1008728
"10305","臺北市","北投區開明里",1327760
"10305","臺北市","北投區立農里",1983747
"10305","臺北市","北投區立賢里",1339187
"10305","臺北市","北投區林泉里",755286
"10305","臺北市","北投區奇岩里",2253093
"10305","臺北市","北投區清江里",1791292
"10305","臺北市","北投區泉源里",666852
"10305","臺北市","北投區榮光里",1469818
"10305","臺北市","北投區榮華里",2152992
"10305","臺北市","北投區石牌里",1640687
"10305","臺北市","北投區桃源里",1102789
"10305","臺北市","北投區溫泉里",1371209
"10305","臺北市","北投區文化里",701831
"10305","臺北市","北投區文林里",1216930
"10305","臺北市","北投區秀山里",706626
"10305","臺北市","北投區一德里",1640391
"10305","臺北市","北投區永和里",2933298
"10305","臺北市","北投區永明里",1207065
"10305","臺北市","北投區永欣里",2040436
"10305","臺北市","北投區裕民里",2035684
"10305","臺北市","北投區長安里",1248140
"10305","臺北市","北投區振華里",1808323
"10305","臺北市","北投區智仁里",858452
"10305","臺北市","北投區中和里",1317441
"10305","臺北市","北投區中心里",1396088
"10305","臺北市","北投區中央里",2648904
"10305","臺北市","北投區中庸里",605783
"10305","臺北市","北投區洲美里",235956
"10305","臺北市","北投區尊賢里",968308
"10305","臺北市","大安區昌隆里",854148
"10305","臺北市","大安區車層里",2106221
"10305","臺北市","大安區誠安里",1422308
"10305","臺北市","大安區大學里",2129052
"10305","臺北市","大安區德安里",1999789
"10305","臺北市","大安區敦安里",1894537
"10305","臺北市","大安區敦煌里",1654747
"10305","臺北市","大安區法治里",1185228
"10305","臺北市","大安區芳和里",1365951
"10305","臺北市","大安區福住里",1339306
"10305","臺北市","大安區古風里",1127180
"10305","臺北市","大安區古莊里",2011483
"10305","臺北市","大安區光明里",1009545
"10305","臺北市","大安區光武里",2700386
"10305","臺北市","大安區光信里",2559152
"10305","臺北市","大安區和安里",1819651
"10305","臺北市","大安區虎嘯里",1531332
"10305","臺北市","大安區華聲里",1571110
"10305","臺北市","大安區建安里",1999381
"10305","臺北市","大安區建倫里",2479597
"10305","臺北市","大安區錦安里",1444787
"10305","臺北市","大安區錦華里",1103666
"10305","臺北市","大安區錦泰里",648265
"10305","臺北市","大安區黎和里",1099329
"10305","臺北市","大安區黎孝里",1875758
"10305","臺北市","大安區黎元里",1197684
"10305","臺北市","大安區臨江里",1133449
"10305","臺北市","大安區龍安里",1750951
"10305","臺北市","大安區龍門里",1087307
"10305","臺北市","大安區龍坡里",801225
"10305","臺北市","大安區龍泉里",1214669
"10305","臺北市","大安區龍生里",1430200
"10305","臺北市","大安區龍圖里",1773518
"10305","臺北市","大安區龍淵里",1727066
"10305","臺北市","大安區龍雲里",1585698
"10305","臺北市","大安區龍陣里",980589
"10305","臺北市","大安區民輝里",2466224
"10305","臺北市","大安區民炤里",2766257
"10305","臺北市","大安區全安里",1400180
"10305","臺北市","大安區群賢里",2035333
"10305","臺北市","大安區群英里",1545641
"10305","臺北市","大安區仁愛里",3019484
"10305","臺北市","大安區仁慈里",1731504
"10305","臺北市","大安區通安里",1454197
"10305","臺北市","大安區通化里",1741831
"10305","臺北市","大安區臥龍里",600306
"10305","臺北市","大安區新龍里",1274872
"10305","臺北市","大安區學府里",674983
"10305","臺北市","大安區義安里",1739159
"10305","臺北市","大安區義村里",1394306
"10305","臺北市","大安區永康里",1154569
"10305","臺北市","大安區正聲里",1787351
"10305","臺北市","大安區住安里",1694490
"10305","臺北市","大同區保安里",880343
"10305","臺北市","大同區朝陽里",1250197
"10305","臺北市","大同區大有里",1408922
"10305","臺北市","大同區光能里",966095
"10305","臺北市","大同區國慶里",1112373
"10305","臺北市","大同區國順里",580808
"10305","臺北市","大同區建功里",1302099
"10305","臺北市","大同區建明里",1713481
"10305","臺北市","大同區建泰里",1442108
"10305","臺北市","大同區景星里",644983
"10305","臺北市","大同區老師里",1116256
"10305","臺北市","大同區鄰江里",1236707
"10305","臺北市","大同區隆和里",832853
"10305","臺北市","大同區民權里",1502125
"10305","臺北市","大同區南芳里",1027696
"10305","臺北市","大同區蓬萊里",1283792
"10305","臺北市","大同區雙連里",2006646
