縣市,鄉鎮,地區,設有戶籍宅數(宅).x,設有戶籍宅數之平均人口數(人),1人一宅宅數(宅),1人一宅宅數比例(%),2人一宅宅數(宅),2人一宅宅數比例(%),3人一宅宅數(宅),3人一宅宅數比例(%),4人一宅宅數(宅),4人一宅宅數比例(%),5人一宅宅數(宅),5人一宅宅數比例(%),6人以上一宅宅數(宅),6人以上一宅宅數比例(%),設有戶籍宅數(宅).y,設有戶籍宅數之平均戶數(戶),1戶一宅(宅),1戶一宅比例(%),2戶一宅(宅),2戶一宅比例(%),3戶一宅(宅),3戶一宅比例(%),4戶一宅(宅),4戶一宅比例(%),5戶一宅(宅),5戶一宅比例(%),6戶以上一宅(宅),6戶以上一宅比例(%),總戶長數(人).x,戶長平均年齡(歲),25(含)歲以下戶長數(人),25(含)歲以下戶長數比例(%),25-35(含)歲戶長數(人),25-35(含)歲戶長數比例(%),35-45(含)歲戶長數(人),35-45(含)歲戶長數比例(%),45-55(含)歲戶長數(人),45-55(含)歲戶長數比例(%),55-65(含)歲戶長數(人),55-65(含)歲戶長數比例(%),65歲以上戶長數(人),65歲以上戶長數比例(%),總戶長數(人).y,每戶平均老年人口數(人),無老年人口戶數(戶),無老年人口戶數比例(%),一位老年人口戶數(戶),一位老年人口戶數比例(%),二位老年人口戶數(戶),二位老年人口戶數比例(%),三位以上老年人口戶數(戶),三位以上老年人口戶數比例(%),僅老年人口居住宅數(宅),一名老年人口宅數(宅),一名老年人口宅數比例(%),二名老年人口宅數(宅),二名老年人口宅數比例(%),三名以上老年人口宅數(宅),三名以上老年人口宅數比例(%),總戶長數(人),有偶(人),有偶比例(%),離婚(人),離婚比例(%),喪偶(人),喪偶比例(%),婚姻關係消滅(人),婚姻關係消滅比例(%),未婚(人),未婚比例(%),其他(人),其他比例(%)
臺北市,松山區,三民里,2315,3.09,631,27.26%,461,19.91%,405,17.49%,326,14.08%,198,8.55%,294,12.70%,2315,1.26,1829,79.01%,385,16.63%,87,3.76%,14,0.60%,0,0.00%,0,0.00%,2915,56.26,50,1.72%,197,6.76%,514,17.63%,673,23.09%,657,22.54%,824,28.27%,2915,0.44,1907,65.42%,745,25.56%,248,8.51%,15,0.51%,241,172,71.37%,62,25.73%,7,2.90%,2915,1838,63.05%,315,10.81%,289,9.91%,0,0.00%,473,16.23%,0,0.00%
臺北市,松山區,中正里,2787,3.89,582,20.88%,421,15.11%,460,16.51%,432,15.50%,260,9.33%,632,22.68%,2787,1.41,1921,68.93%,634,22.75%,197,7.07%,29,1.04%,6,0.22%,0,0.00%,3923,52.31,60,1.53%,308,7.85%,1036,26.41%,1017,25.92%,776,19.78%,726,18.51%,3924,0.29,3020,76.96%,664,16.92%,232,5.91%,8,0.20%,166,130,78.31%,31,18.67%,5,3.01%,3923,2749,70.07%,365,9.30%,250,6.37%,1,0.03%,558,14.22%,0,0.00%
臺北市,松山區,中崙里,1268,3.65,331,26.10%,203,16.01%,183,14.43%,175,13.80%,106,8.36%,270,21.29%,1268,1.36,920,72.56%,251,19.79%,86,6.78%,11,0.87%,0,0.00%,0,0.00%,1724,53,24,1.39%,148,8.58%,419,24.30%,452,26.22%,336,19.49%,345,20.01%,1723,0.3,1305,75.74%,316,18.34%,100,5.80%,2,0.12%,94,78,82.98%,16,17.02%,0,0.00%,1724,1150,66.71%,162,9.40%,127,7.37%,2,0.12%,283,16.42%,0,0.00%
臺北市,松山區,中華里,1832,3.71,366,19.98%,310,16.92%,317,17.30%,317,17.30%,164,8.95%,358,19.54%,1832,1.38,1293,70.58%,413,22.54%,105,5.73%,18,0.98%,2,0.11%,1,0.05%,2521,55.67,32,1.27%,164,6.51%,482,19.12%,626,24.83%,583,23.13%,634,25.15%,2522,0.4,1751,69.43%,545,21.61%,213,8.45%,13,0.52%,172,117,68.02%,49,28.49%,6,3.49%,2521,1829,72.55%,192,7.62%,198,7.85%,0,0.00%,302,11.98%,0,0.00%
臺北市,松山區,介壽里,1264,3.85,229,18.12%,187,14.79%,234,18.51%,210,16.61%,138,10.92%,266,21.04%,1264,1.4,868,68.67%,307,24.29%,75,5.93%,13,1.03%,0,0.00%,1,0.08%,1766,55.74,23,1.30%,109,6.17%,378,21.40%,399,22.59%,373,21.12%,484,27.41%,1765,0.43,1197,67.82%,400,22.66%,159,9.01%,9,0.51%,94,68,72.34%,25,26.60%,1,1.06%,1766,1277,72.31%,124,7.02%,169,9.57%,0,0.00%,196,11.10%,0,0.00%
臺北市,松山區,民有里,2898,3.11,713,24.60%,572,19.74%,547,18.88%,483,16.67%,255,8.80%,328,11.32%,2898,1.19,2425,83.68%,409,14.11%,57,1.97%,6,0.21%,0,0.00%,1,0.03%,3445,56.59,58,1.68%,242,7.02%,511,14.83%,724,21.02%,964,27.98%,946,27.46%,3443,0.45,2264,65.76%,841,24.43%,316,9.18%,22,0.64%,235,176,74.89%,56,23.83%,3,1.28%,3445,2290,66.47%,277,8.04%,273,7.92%,0,0.00%,605,17.56%,0,0.00%
臺北市,松山區,民福里,2131,3.1,582,27.31%,417,19.57%,355,16.66%,315,14.78%,186,8.73%,276,12.95%,2131,1.23,1713,80.38%,350,16.42%,59,2.77%,8,0.38%,1,0.05%,0,0.00%,2627,56.43,40,1.52%,189,7.19%,438,16.67%,567,21.58%,708,26.95%,685,26.08%,2625,0.41,1763,67.16%,671,25.56%,176,6.70%,15,0.57%,174,127,72.99%,43,24.71%,4,2.30%,2627,1614,61.44%,277,10.54%,276,10.51%,0,0.00%,460,17.51%,0,0.00%
臺北市,松山區,吉仁里,1138,3.78,229,20.12%,181,15.91%,177,15.55%,194,17.05%,119,10.46%,238,20.91%,1138,1.37,813,71.44%,243,21.35%,73,6.41%,6,0.53%,2,0.18%,1,0.09%,1557,55.29,26,1.67%,108,6.94%,325,20.87%,358,22.99%,354,22.74%,386,24.79%,1558,0.39,1082,69.45%,355,22.79%,109,7.00%,12,0.77%,95,70,73.68%,24,25.26%,1,1.05%,1557,1073,68.91%,120,7.71%,141,9.06%,0,0.00%,223,14.32%,0,0.00%
臺北市,松山區,吉祥里,2796,3.13,756,27.04%,509,18.20%,508,18.17%,444,15.88%,245,8.76%,334,11.95%,2796,1.22,2278,81.47%,419,14.99%,93,3.33%,6,0.21%,0,0.00%,0,0.00%,3416,55.59,59,1.73%,272,7.96%,554,16.22%,773,22.63%,944,27.63%,814,23.83%,3418,0.38,2409,70.48%,733,21.45%,264,7.72%,12,0.35%,200,141,70.50%,53,26.50%,6,3.00%,3416,2309,67.59%,303,8.87%,268,7.85%,0,0.00%,536,15.69%,0,0.00%
臺北市,松山區,安平里,2786,3.13,914,32.81%,462,16.58%,433,15.54%,338,12.13%,245,8.79%,394,14.14%,2786,1.27,2183,78.36%,487,17.48%,94,3.37%,14,0.50%,6,0.22%,2,0.07%,3537,55,66,1.87%,350,9.90%,604,17.08%,821,23.21%,836,23.64%,860,24.31%,3537,0.36,2505,70.82%,809,22.87%,209,5.91%,14,0.40%,252,201,79.76%,43,17.06%,8,3.17%,3537,2098,59.32%,375,10.60%,387,10.94%,2,0.06%,675,19.08%,0,0.00%
臺北市,松山區,自強里,2894,3.55,530,18.31%,535,18.49%,518,17.90%,520,17.97%,323,11.16%,468,16.17%,2894,1.3,2199,75.98%,556,19.21%,120,4.15%,17,0.59%,2,0.07%,0,0.00%,3749,57.3,59,1.57%,248,6.62%,674,17.98%,893,23.82%,792,21.13%,1083,28.89%,3748,0.48,2421,64.59%,928,24.76%,353,9.42%,46,1.23%,218,129,59.17%,77,35.32%,12,5.50%,3749,2403,64.10%,333,8.88%,485,12.94%,0,0.00%,528,14.08%,0,0.00%
臺北市,松山區,東光里,2407,3.11,672,27.92%,442,18.36%,431,17.91%,345,14.33%,216,8.97%,301,12.51%,2407,1.25,1924,79.93%,386,16.04%,83,3.45%,10,0.42%,4,0.17%,0,0.00%,3004,57.59,41,1.36%,165,5.49%,455,15.15%,700,23.30%,775,25.80%,868,28.89%,3004,0.44,1975,65.75%,762,25.37%,241,8.02%,26,0.87%,284,204,71.83%,69,24.30%,11,3.87%,3004,1917,63.81%,299,9.95%,308,10.25%,2,0.07%,478,15.91%,0,0.00%
臺北市,松山區,東昌里,757,3.87,134,17.70%,114,15.06%,145,19.15%,132,17.44%,69,9.11%,163,21.53%,757,1.36,551,72.79%,149,19.68%,47,6.21%,9,1.19%,1,0.13%,0,0.00%,1031,55.84,16,1.55%,70,6.79%,216,20.95%,226,21.92%,202,19.59%,301,29.19%,1030,0.45,676,65.63%,251,24.37%,94,9.13%,9,0.87%,67,53,79.10%,11,16.42%,3,4.48%,1031,735,71.29%,68,6.60%,104,10.09%,0,0.00%,124,12.03%,0,0.00%
臺北市,松山區,東勢里,1387,3.41,357,25.74%,230,16.58%,240,17.30%,209,15.07%,113,8.15%,238,17.16%,1387,1.31,1035,74.62%,273,19.68%,73,5.26%,6,0.43%,0,0.00%,0,0.00%,1823,56.11,30,1.65%,120,6.58%,362,19.86%,381,20.90%,429,23.53%,501,27.48%,1823,0.42,1226,67.25%,450,24.68%,130,7.13%,17,0.93%,159,116,72.96%,32,20.13%,11,6.92%,1823,1225,67.20%,146,8.01%,169,9.27%,1,0.05%,282,15.47%,0,0.00%
臺北市,松山區,東榮里,2290,3.7,399,17.42%,409,17.86%,406,17.73%,416,18.17%,229,10.00%,431,18.82%,2290,1.31,1715,74.89%,455,19.87%,101,4.41%,16,0.70%,2,0.09%,1,0.04%,3009,56.26,42,1.40%,175,5.82%,565,18.78%,656,21.80%,771,25.62%,800,26.59%,3009,0.45,2013,66.90%,678,22.53%,293,9.74%,25,0.83%,159,97,61.01%,57,35.85%,5,3.14%,3009,2153,71.55%,199,6.61%,267,8.87%,2,0.07%,388,12.89%,0,0.00%
臺北市,松山區,松基里,1205,3.12,341,28.30%,206,17.10%,221,18.34%,192,15.93%,106,8.80%,139,11.54%,1205,1.21,991,82.24%,174,14.44%,36,2.99%,4,0.33%,0,0.00%,0,0.00%,1461,56.48,20,1.37%,114,7.80%,211,14.44%,322,22.04%,413,28.27%,381,26.08%,1462,0.41,983,67.24%,359,24.56%,114,7.80%,6,0.41%,114,85,74.56%,25,21.93%,4,3.51%,1461,951,65.09%,128,8.76%,130,8.90%,2,0.14%,250,17.11%,0,0.00%
臺北市,松山區,美仁里,1000,3.84,224,22.40%,166,16.60%,138,13.80%,155,15.50%,94,9.40%,223,22.30%,1000,1.36,734,73.40%,181,18.10%,75,7.50%,10,1.00%,0,0.00%,0,0.00%,1359,54.69,15,1.10%,99,7.28%,299,22.00%,317,23.33%,298,21.93%,331,24.36%,1361,0.37,964,70.83%,302,22.19%,84,6.17%,11,0.81%,82,61,74.39%,19,23.17%,2,2.44%,1359,956,70.35%,116,8.54%,109,8.02%,0,0.00%,178,13.10%,0,0.00%
臺北市,松山區,莊敬里,1633,3.46,367,22.47%,294,18.00%,302,18.49%,261,15.98%,154,9.43%,255,15.62%,1633,1.28,1286,78.75%,278,17.02%,59,3.61%,7,0.43%,0,0.00%,3,0.18%,2087,56.44,26,1.25%,155,7.43%,382,18.30%,434,20.80%,488,23.38%,602,28.85%,2087,0.43,1372,65.74%,532,25.49%,177,8.48%,6,0.29%,143,112,78.32%,28,19.58%,3,2.10%,2087,1308,62.67%,232,11.12%,252,12.07%,0,0.00%,295,14.14%,0,0.00%
臺北市,松山區,富泰里,1659,2.97,502,30.26%,325,19.59%,263,15.85%,258,15.55%,125,7.53%,186,11.21%,1659,1.24,1331,80.23%,271,16.34%,50,3.01%,7,0.42%,0,0.00%,0,0.00%,2051,54.5,29,1.41%,168,8.19%,437,21.31%,493,24.04%,425,20.72%,499,24.33%,2051,0.38,1434,69.92%,465,22.67%,135,6.58%,17,0.83%,148,118,79.73%,26,17.57%,4,2.70%,2051,1236,60.26%,229,11.17%,169,8.24%,0,0.00%,417,20.33%,0,0.00%
